anime_id,Anime Name,rating
37744,Isekai Cheat Magician,0
56906,"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta (TV Special)",0
21327,Isshuukan Friends.,0
36220,Itsudatte Bokura no Koi wa 10 cm Datta.,0
228,Jigoku Shoujo,0
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,0
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,0
28387,Joukamachi no Dandelion,0
35639,Just Because!,0
14467,K,0
42822,Kai Byoui Ramune,0
54199,Kaii to Otome to Kamikakushi,0
40716,Kakushigoto,0
14713,Kamisama Hajimemashita,0
41930,Kamisama ni Natta Hi,0
36407,Kenja no Mago,0
486,Kino no Tabi: The Beautiful World,0
31798,Kiznaiver,0
31758,Kizumonogatari III: Reiketsu-hen,0
12175,Koi to Senkyo to Chocolate,0
34934,Koi to Uso,0
39388,Koisuru Asteroid,0
31952,Kono Bijutsu-bu ni wa Mondai ga Aru!,0
54835,Kono Sekai wa Fukanzen Sugiru,0
15379,Kotoura-san,0
28623,Koutetsujou no Kabaneri,0
34712,Kujira no Kora wa Sajou ni Utau,0
18153,Kyoukai no Kanata,0
207,Lodoss-tou Senki,0
2034,Lovely★Complex,0
1887,Lucky☆Star,0
28013,Macross Δ,0
34599,Made in Abyss,0
59265,Magic Maker: Isekai Mahou no Tsukurikata,0
276,Mahoromatic: Automatic Maiden,0
36266,Mahou Shoujo Site,0
20785,Mahouka Koukou no Rettousei,0
40397,Maoujou de Oyasumi,0
52211,Mashle,0
10721,Mawaru Penguindrum,0
41812,Megami-ryou no Ryoubo-kun.,0
48483,Mieruko-chan,0
10620,Mirai Nikki (TV),0
37510,Mob Psycho 100 II,0
17074,Monogatari Series: Second Season,0
19,Monster,0
41619,Munou na Nana,0
31442,Musaigen no Phantom World,0
21939,Mushishi Zoku Shou,0
16067,Nagi no Asu kara,0
50582,Nanatsu no Maken ga Shihai suru,0
54688,Naruto (Shinsaku Anime),0
36038,Net-juu no Susume,0
31953,New Game!,0
20507,Noragami,0
51128,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,0
14199,Oniichan dakedo Ai sae Areba Kankeinai yo ne!,0
51678,Oniichan wa Oshimai!,0
12355,Ookami Kodomo no Ame to Yuki,0
32729,Orange,0
41899,Ore dake Haireru Kakushi Dungeon,0
13659,Ore no Imouto ga Konnani Kawaii Wake ga Nai.,0
14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,0
43007,Osananajimi ga Zettai ni Makenai Love Comedy,0
56876,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken 2nd Season,0
40834,Ousama Ranking,0
19369,Outbreak Company,0
29803,Overlord,0
26243,Owari no Seraph,0
35247,Owarimonogatari 2nd Season,0
35737,Pluto,0
35240,Princess Principal,0
34561,Re:Creators,0
51403,Renai Flops,0
31716,Rewrite,0
32951,Rokudenashi Majutsu Koushi to Akashic Records,0
58473,"S-Rank Monster no ""Behemoth"" dakedo, Neko to Machigawarete Elf Musume no Pet toshite Kurashitemasu",0
12531,Sakamichi no Apollon,0
37426,Sarazanmai,0
54233,Sasayaku You ni Koi wo Utau,0
35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,0
42826,Seijo no Maryoku wa Bannou desu,0
5909,Seitokai no Ichizon,0
2104,Seto no Hanayome,0
38759,Sewayaki Kitsune no Senko-san,0
48415,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",0
13125,Shinsekai yori,0
52082,Shiro Seijo to Kuro Bokushi,0
46093,Shiroi Suna no Aquatope,0
47162,Shokei Shoujo no Virgin Road,0
35503,Shoujo☆Kageki Revue Starlight,0
28735,Shouwa Genroku Rakugo Shinjuu,0
42923,SK∞,0
39575,Somali to Mori no Kamisama,0
48849,Sonny Boy,0
45653,Soredemo Ayumu wa Yosetekuru,0
22101,Soredemo Sekai wa Utsukushii,0
3470,Special A,0
14289,Suki tte Ii na yo.,0
48171,Summer Ghost,0
45055,Taishou Otome Otogibanashi,0
48556,Takt Op. Destiny,0
16417,Tamako Market,0
